title,year,endYear,movie_id
100 Days My Prince,2018,2018,8199972
12 Signs of Love,2012,2012,
12 Years Promise,2014,2014,5476252
18 Again,2020,2020,12846096
365: Repeat the Year,2020,2020,12015466
4 Legendary Witches,2014,2015,
49 Days,2011,2011,1935066
5th Republic,2005,2005,
7 First Kisses,2016,2017,6353134
7th Grade Civil Servant,2013,2013,3061226
"90 Days, Time to Love",2006,2007,
A Beautiful Mind,2016,2016,"12597746,16252662"
A Bird That Doesn't Sing,2015,2015,
A Daughter Just Like You,2015,2015,4950552
A Gentleman's Dignity,2012,2012,2362760
A Girl Who Sees Smells,2015,2015,
A Happy  Woman,2007,2007,5621162
A Hundred Year Legacy,2013,2013,
A Korean Odyssey,2017,2018,7099334
A Little Love Never Hurts,2013,2014,
A Love So Beautiful,2020,2021,13642264
A Love to Kill,2005,2005,0499280
A Man Called God,2010,2010,2060590
A Model Family,2022,2022,21289712
A New Leaf,2014,2014,3715110
A Piece of Your Mind,2020,2020,11505790
A Place in the Sun,2019,2019,10350606
A Pledge to God,2018,2019,9257510
A Poem a Day,2018,2018,8078744
A Superior Day,2022,2022,18777280
A Tale of Two Sisters,2013,2013,8421778
A Thousand Days' Promise,2011,2011,2262521
A Thousand Kisses,2011,2012,5619630
A Time Called You,2023,2023,21627438
A Witch's Love,2014,2014,3718908
A-Teen,2018,2018,9861132
A-Teen 2,2019,2019,"11955552,11959084"
About Time,2018,2018,8083832
Abyss,2019,2019,10055734
Ad Genius Lee Tae-baek,2013,2013,"3541250,15506152"
Adamas,2022,2022,21195588
Adult Trainee,2021,2021,16383322
"Aeja's Older Sister, Minja",2008,2008,
Aftermath,2014,2014,1564368
Again My Life,2022,2022,15580450
Age of Innocence,2002,2002,19383462
Age of Warriors,2003,2004,0481653
Air City,2007,2007,1672137
Alchemy of Souls,2022,2022,20859920
Alice,2020,2020,"10795658,12398140"
All About Eve,2000,2000,0313028
All About My Mom,2015,2016,5321300
All About My Romance,2013,2013,3392010
All In,2003,2003,
All My Love For You,2010,2011,
All of Us Are Dead,2022,2022,14169960
Alone in Love,2006,2006,0843239
Amanza,2020,2020,12994186
Amor Fati,2021,2021,14894140
Andante,2017,2018,6415220
Ang Shim Jung,2010,2011,
Angel Eyes,2014,2014,3681890
Angel's Choice,2012,2012,
Angel's Last Mission: Love,2019,2019,10160592
Angel's Revenge,2014,2014,3541074
Angry Mom,2015,2015,4535826
Anna,2022,2022,21146902
Another Miss Oh,2016,2016,5679572
Another Peaceful Day of Second-Hand Items,2020,2020,
Apgujeong Midnight Sun,2014,2015,5670870
April Kiss,2004,2004,7475750
Arang and the Magistrate,2012,2012,
Are You Human?,2018,2018,"7817966,16280356,17108192,17718452"
Argon,2017,2017,7094798
Arthdal Chronicles,2019,2019,8750956
Artificial City,2021,2021,
Ask the Stars,2023,2023,
Asphalt Man,1995,1995,
Assembly,2015,2015,5120804
Assorted Gems,2009,2010,2035741
At Eighteen,2019,2019,"10474124,10761346"
"At a Distance, Spring Is Green",2021,2021,14518430
Athena: Goddess of War,2010,2011,1942171
Autumn Shower,2005,2005,5621814
Avengers Social Club,2017,2017,7375028
Awaken,2020,2021,13273550
Babel,2019,2019,9467014
Baby Faced Beauty,2011,2011,3590610
Babysitter,2016,2016,
Bachelor's Vegetable Store,2011,2012,6385836
Backstreet Rookie,2020,2020,12516712
Bad and Crazy,2021,2021,15146202
Bad Family,2006,2006,1461527
Bad Guy,2010,2010,
Bad Guys,2014,2014,3914520
Bad Guys 2,2017,2018,12404980
Bad Housewife,2005,2005,1183174
Bad Papa,2018,2018,8907470
Bad Prosecutor,2022,2022,22353836
"Bad Thief, Good Thief",2017,2017,6672568
"Bad Woman, Good Woman",2007,2007,
Ballad of Seodong,2005,2006,
Band of Sisters,2017,2017,6788732
Banjun Drama,2004,2006,
Basketball,2013,2013,
Be Melodramatic,2019,2019,"10559276,11765340"
Be My Dream Family,2021,2021,22055986
Be Positive,2016,2016,
"Be Strong, Geum-soon!",2005,2005,9165876
Beating Again,2015,2015,
Beating Heart,2005,2005,2439644
Beautiful Days,2001,2001,0324685
Beautiful Gong Shim,2016,2016,5705896
"Beautiful Love, Wonderful Life",2019,2020,11133556
Beautiful World,2019,2019,9863724
Because This Is My First Life,2017,2017,"7278588,7611220"
Because This Is My First Twenty,2018,2018,
Becky's Back,2016,2016,
Becoming a Billionaire,2010,2010,15360196
Becoming Witch,2022,2022,20916926
Beethoven Virus,2008,2008,1690398
Behind the White Tower,2007,2007,6357280
Bel Ami,2013,2014,
Best Chicken,2019,2019,9426382
Beyond Evil,2021,2021,
Beyond the Clouds,2014,2014,3580162
Big,2012,2012,
Big Issue,2019,2019,"9772798,10101808"
Big Man,2014,2014,3715044
Big Mouth,2022,2022,21195490
Big Thing,2010,2010,"3406906,7513036"
"Billie Jean, Look at Me",2006,2007,
Birdie Buddy,2011,2011,2424754
Birth of a Beauty,2014,2015,4269776
Birthcare Center,2020,2020,13162516
Birthday Letter,2019,2019,15831086
Bitter Sweet Life,2008,2008,
Bizarre Bunch,2005,2006,
Black,2017,2017,7441658
Black Dog: Being A Teacher,2020,2020,
Black Knight,2022,2022,
Black Knight: The Man Who Guards Me,2017,2018,
Blade Man,2014,2014,4016612
Blessing of the Sea,2019,2019,9632426
Blind,2022,2022,21631058
Blood,2015,2015,
Blooded Palace: The War of Flowers,2013,2013,
Bloody Heart,2022,2022,19887704
Bloody Romance,2022,2022,
Blossom Sisters,2010,2010,
Blow Breeze,2016,2017,5987734
Blue Birthday,2021,2021,14927114
Bodyguard,2003,2003,
Born Again,2020,2020,"12015636,11857910"
Bossam: Steal the Fate,2021,2021,13928294
Boys Over Flowers,2009,2009,1370334
Brain,2011,2012,2078690
Bravo My Life,2017,2018,7524492
"Bravo, My Life",2022,2022,
"Bravo, My Love!",2011,2012,
"Bread, Love and Dreams",2010,2010,
Bridal Mask,2012,2012,3139942
Bride of the Century,2014,2014,3726584
Bride of the Sun,2011,2012,
Brilliant Heritage,2020,2020,12179496
Brilliant Legacy,2009,2009,
"Bring It On, Ghost",2016,2016,5768840
Bubble Gum,2015,2015,
Bubbly Lovely,2016,2017,"17497910,17497910,20561500"
Bulgasal: Immortal Souls,2021,2022,14691616
Business Proposal,2022,2022,
Cain and Abel,2009,2009,3147968
Café Minamdang,2022,2022,21049186
Call My Agent!,2022,2022,18926830
"Can We Fall in Love, Again?",2014,2014,
Can We Get Married?,2012,2013,3247224
Can't Lose,2011,2011,6444438
Can't Stand Anymore,2013,2014,
Capital Scandal,2007,2007,3211098
Casino,2022,2022,17329616
Catch the Ghost,2019,2019,10712926
Cats on the Roof,2003,2003,
Celebrity,2022,2022,"21861638,20723644"
Cheat on Me If You Can,2020,2021,13092070
Cheer Up,2022,2022,22789182
Cheer Up!,2015,2015,
"Cheer Up, Mr. Kim!",2012,2013,21604510
Cheese in the Trap,2016,2016,4741110
Cheongdam-dong Alice,2012,2013,2700064
Cheongdam-dong Scandal,2014,2015,
Cheo Yong,2014,2014,3186614
Chicago Typewriter,2017,2017,6516076
Chicken Nugget,2023,2023,8337264
Chief of Staff,2019,2019,10220476
Children of a Lesser God,2018,2018,7920000
Children of Nobody,2018,2019,9146046
Children of the 20th Century,2017,2017,
Chimera,2021,2021,15616218
Chip In,2020,2020,12516638
Choco Bank,2016,2016,6284006
Chocolate,2019,2020,11214028
Chunja's Special Day,2008,2008,
Cinderella Man,2009,2009,2273915
Cinderella with Four Knights,2016,2016,
Cinderella's Stepsister,2010,2010,
Circle,2017,2017,"4649466,4287320"
City Hunter,2011,2011,1982229
City of the Sun,2015,2015,
Class of Lies,2019,2019,10467640
Clean with Passion for Now,2018,2019,
Cleaning Up,2022,2022,20833440
Cloud Stairs,2006,2006,
Coffee House,2010,2010,2242094
Coffee Prince,2007,2007,1772685
"Coffee, Do Me a Favor",2018,2018,
Color Rush,2020,2021,13743822
Coma,2006,2006,
Come and Hug Me,2018,2018,8269398
Come Back Mister,2016,2016,5497708
Confession,2019,2019,"9131050,11307176"
Connect,2023,2023,
Conspiracy in the Court,2007,2007,6385912
"Cool Guys, Hot Ramen",2011,2011,
Couple or Trouble,2006,2006,
Crash Landing on You,2019,2020,10850932
Crazy Love,2013,2013,18550036
Crazy Love,2022,2022,18552024
Creating Destiny,2009,2010,"2120917,1532960,1527497"
Criminal Minds,2017,2017,6568694
Cross,2018,2018,6461824
Cruel Love,2007,2008,
Cunning Single Lady,2014,2014,3566838
Curtain Call,2022,2022,"22892112,16691754,22265944,19402238"
D-Day,2015,2015,5145142
D.P.,2021,2021,13024974
Dae Jang Geum,2003,2004,0409546
Dae Jang Geum Is Watching,2018,2019,8991586
Dae Jo-yeong,2006,2007,2819282
Daemyeong,1981,1981,
Dal-ja's Spring,2007,2007,2690738
Dali and Cocky Prince,2021,2021,14730768
Damo,2003,2003,"0477496,0886682"
Dangerous Woman,2011,2012,23033804
Daring Women,2010,2010,"1598760,12832016,12832016"
Dark Hole,2021,2021,13885376
Dating Agency: Cyrano,2013,2013,2828696
Daughters-in-Law,2007,2008,
Dear Archimedes,2019,2019,
Dear Heaven,2005,2006,
Dear My Friends,2016,2016,"5689030,6265644"
Dear X Who Doesn't Love Me,2022,2022,21054064
Dear. M,2022,2022,13760386
Deep Rooted Tree,2011,2011,2221405
Definitely Neighbors,2010,2010,6268144
Delayed Justice,2020,2021,13269814
Delicious Proposal,2001,2001,6289582
Delivery,2021,2021,
Descendants of the Sun,2016,2016,4925000
Designated Survivor: 60 Days,2019,2019,10405394
Detectives in Trouble,2011,2011,15502906
Devilish Charm,2018,2018,
Diary of a Night Watchman,2014,2014,3922408
Diary of a Prosecutor,2019,2020,11239316
Did We Really Love?,1999,1999,
Different Dreams,2019,2019,10055748
Dinner Mate,2020,2020,12415644
Discovery of Love,2014,2014,4128654
Distorted,2017,2017,4887224
Divorce Lawyer in Love,2015,2015,4696140
Do Do Sol Sol La La Sol,2020,2020,"12850262,13003660,13247444"
Do You Like Brahms?,2020,2020,12867750
Doctor Detective,2019,2019,10473780
Doctor Doctor,2000,2000,0241383
Doctor John,2019,2019,10544464
Doctor Lawyer,2022,2022,20854190
Doctor Prisoner,2019,2019,9863766
Doctor Stranger,2014,2014,3693414
Dokgo Rewind,2018,2018,14134794
Dong Yi,2010,2010,1666209
Don't Cry My Love,2008,2009,
Don't Dare to Dream,2016,2016,5936884
Don't Hesitate,2009,2010,5516034
Don't Look Back: The Legend of Orpheus,2013,2013,2932820
Doom at Your Service,2021,2021,13669128
Drama City: What Should I Do?,2004,2004,3107676
Drama City: What Should I Do?,2004,2004,3107676
Just an Ordinary Love Story,2012,2012,
Puberty Medley,2013,2013,
"Rock, Rock, Rock",2010,2010,
White Christmas,2011,2011,2441808
Don't Announce Your Husband's Death,2022,2022,
Find the 1st Prize,2022,2022,
The Apartment Is Beautiful,2022,2022,
Dream,2009,2009,
Dream High,2011,2011,1996607
Dream High 2,2012,2012,
Dream of the Emperor,2012,2013,
Drinking Solo,2016,2016,5950452
Dr. Brain,2021,2021,15758760
Dr. Champ,2010,2010,2462572
Dr. Frost,2014,2015,
Dr. Ian,2015,2015,
Dr. Jin,2012,2012,2426396
Dr. Kkang,2006,2006,
Dr. Park's Clinic,2022,2022,16970738
Dr. Romantic,2016,2020,6157190
Duel,2017,2017,6917250
Dummy Mommy,2012,2012,
East of Eden,2008,2009,1361356
Eccentric! Chef Moon,2020,2020,12226766
"Eight Days, Assassination Attempts against King Jeongjo",2007,2007,
"Eighteen, Twenty-Nine",2005,2005,
Emergency Couple,2014,2014,"3530644,4215764"
Emperor of the Sea,2004,2005,2061110
Empire of Gold,2013,2013,3364758
Empress Cheonchu,2009,2009,
Empress Ki,2013,2014,3322566
Empress Myeongseong,2001,2002,2288116
Enchanting Neighbor,2015,2015,4934240
Encounter,2018,2019,"8769260,6613952"
Endless Love,2014,2014,"2318092,5196024"
Autumn in My Heart,2000,2000,0294592
Spring Waltz,2006,2006,0810507
Summer Scent,2003,2003,0464627
Winter Sonata,2002,2002,0395057
Enemies from the Past,2017,2018,7904948
Entertainer,2016,2016,5637210
Entourage,2016,2016,5849698
Erexion,2006,2006,
Eve,2022,2022,20723826
Evergreen,2018,2018,9033634
Everybody Say Kimchi,2014,2014,
Exit,2018,2018,6285672
Exo Next Door,2015,2015,4775200
Extracurricular,2020,2020,10262630
Extraordinary Attorney Woo,2022,2022,"20869502,21167784"
Extraordinary You,2019,2019,10826102
Ex-Girlfriends' Club,2015,2015,4686328
Eyes of Dawn,1991,1992,3510914
Faith,2012,2012,"2373094,2371824"
Falling for Challenge,2015,2015,6289578
Familiar Wife,2018,2018,8487786
Family,2012,2013,
Family Secret,2014,2015,
Family's Honor,2008,2009,1688124
Fantastic,2016,2016,"3183660,3553976,4560008"
Fashion 70s,2005,2005,
Fashion King,2012,2012,"2305397,2471838"
Fatal Promise,2020,2020,
Fates & Furies,2018,2019,
"Father, I'll Take Care of You",2016,2017,6234380
Father's House,2009,2009,
Feast of the Gods,2012,2012,3216592
Feel Good to Die,2018,2018,
Fight for My Way,2017,2017,6824234
Find Me in Your Memory,2020,2020,11885790
Fireworks,2000,2000,0845439
Fireworks,2006,2006,0845439
First Lady,2023,2023,
First Love,1996,1997,
First Love Again,2016,2017,6444736
First Love of a Royal Prince,2004,2004,0966113
First Wives' Club,2007,2008,
Five Enough,2016,2016,"15578100,17497714,17497742,17498764,17498764,17498764"
Five Fingers,2012,2012,2242048
Flames of Desire,2010,2011,6201346
Flower Band,2012,2012,"2942950,2304041"
Flower Crew: Joseon Marriage Agency,2019,2019,10614024
Flower Grandpa Investigation Unit,2014,2014,
Flower of Evil,2020,2020,11691684
Flower of Queen,2015,2015,
Flower of Revenge,2013,2013,
Flower Scholars' Love Story,2023,2023,
Flowers of the Prison,2016,2016,
Fly High Butterfly,2022,2022,
Forbidden Love,2004,2004,0434737
Forecasting Love and Weather,2022,2022,15140592
Forest,2020,2020,8006374
Forever Young,2015,2015,4819470
Foundation of the Kingdom,1983,1983,
Four Sisters,2001,2001,
"Freedom Fighter, Lee Hoe-young",2010,2010,
Freeze,2006,2006,
"Friend, Our Legend",2009,2009,6354758
Friends,2002,2002,
"From Now On, Showtime!",2022,2022,19848464
Full House,2004,2004,0464625
Full House Take 2,2012,2012,
Gangnam Beauty,2018,2018,"8585954,8912344"
Gangnam Scandal,2018,2019,9376922
Gap-dong,2014,2014,3633394
Gaus Electronics,2022,2022,22873700
Get Karl! Oh Soo-jung,2007,2007,7516436
Get Revenge,2020,2021,13400034
Get Up,2008,2008,
Ghost Doctor,2022,2022,"16493854,18257396,21520826"
Giant,2010,2010,
Girls' Generation 1979,2017,2017,7278498
Glamorous Temptation,2015,2016,5129048
Glass Castle,2008,2009,
Glass Mask,2012,2013,3541356
Glass Slippers,2002,2002,3532844
Glitch,2022,2022,"14735382,13351606,15518878"
Gloria,2010,2011,
Glorious Day,2014,2014,5145650
Glory Jane,2011,2011,3364908
Go Back,2017,2017,"7418578,4828940,6841614"
God of War,2012,2012,
Goddess of Fire,2013,2013,3180386
Goddess of Marriage,2013,2013,3116358
God's Gift: 14 Days,2014,2014,3580170
"Gogh, The Starry Night",2016,2016,6058390
Gold Mask,2022,2022,
Golden Apple,2005,2006,0485218
Golden Bride,2007,2008,
Golden Cross,2014,2014,3681872
Golden Fish,2010,2010,5699298
Golden House,2010,2010,
Golden Pouch,2016,2017,6413376
Golden Rainbow,2013,2014,
Golden Time,2012,2012,2474948
Good Casting,2020,2020,10584436
Good Doctor,2013,2013,3184708
Good Job,2022,2022,22247864
"Good Job, Good Job",2009,2009,6270334
Good Manager,2017,2017,6352982
Goodbye Dear Wife,2012,2012,2508520
Goodbye Mr. Black,2016,2016,5546346
Goodbye My Love,1999,1999,
Goodbye Solo,2006,2006,0843194
Goodbye to Goodbye,2018,2018,8409646
Gourmet,2008,2008,
Graceful Family,2019,2019,10815362
Graceful Friends,2020,2020,12531492
Gracious Revenge,2019,2020,11133628
Grand Prince,2018,2018,7923624
Great Inheritance,2006,2006,9165770
Green Mothers' Club,2022,2022,15060900
Green Rose,2005,2005,0866597
Grid,2022,2022,
Grudge: The Revolt of Gumiho,2010,2010,15360330
Gu Family Book,2013,2013,2816734
Guardian Angel,2001,2001,
Guardian: The Lonely and Great God,2016,2017,5994364
Gunman in Joseon,2014,2014,3836378
"Gwanggaeto, The Great Conqueror",2011,2012,"4310982,15503062"
Gyebaek,2011,2011,
H.I.T,2007,2007,6283686
Haechi,2019,2019,9467164
Happiness,2021,2021,14979052
Happiness in the Wind,2010,2010,
Happy Ending,2012,2012,2311579
Happy Home,2016,2016,5347176
Happy Sisters,2017,2018,7795286
Happy Together,1999,1999,1113186
He Is Psychometric,2019,2019,9696162
He Who Can't Marry,2009,2009,15360012
Heading to the Ground,2009,2009,
Healer,2014,2015,4284216
Heard It Through the Grapevine,2015,2015,4507456
Heart Surgeons,2018,2018,8992866
Heart to Heart,2015,2015,
Heartless City,2013,2013,3089614
Hearts of Nineteen,2006,2007,18232852
Heartstrings,2011,2011,
Heaven & Earth,2007,2007,
Hell Is Other People,2019,2019,"10613844,10699580"
Hellbound,2021,2021,
Hello Franceska,2005,2006,0460364
Hello Monster,2015,2015,4803738
Hello My Teacher,2005,2005,2401365
"Hello, Me!",2021,2021,13670090
Hello! Miss,2007,2007,5145026
"Hello, My Twenties!",2016,2017,
Her Private Life,2019,2019,9899340
Here Comes Mr. Oh,2012,2013,5618336
Here's My Plan,2021,2021,14461244
Hero,2009,2010,
"Hi Bye, Mama!",2020,2020,11804034
Hi! School: Love On,2014,2014,
Hidden Identity,2015,2015,"4871736,4780416"
Hide and Seek,2018,2018,8575408
High Class,2021,2021,14596714
High End Crush,2015,2016,6096696
High Kick Through the Roof,2009,2010,
High Kick!,2006,2007,2309828
High Kick: Revenge of the Short Legged,2011,2012,
High School King of Savvy,2014,2014,3798374
High Society,2015,2015,4768948
History of a Salaryman,2012,2012,
Hit the Top,2017,2017,17518792
Hogu's Love,2015,2015,
Hold Me Tight,2018,2018,
Hold My Hand,2013,2014,5614978
Home for Summer,2019,2019,10160560
Home Sweet Home,2010,2010,
Homemade Love Story,2020,2021,16441070
Hometown,2021,2021,14687370
Hometown Cha-Cha-Cha,2021,2021,14518756
Hong Gil-dong,2008,2008,2511504
Hong Kong Express,2005,2005,"0448218,16166654"
Hospital Playlist,2020,2021,11769304
Hospital Ship,2017,2017,7074992
Hot Blood,2009,2009,5120680
Hot Stove League,2019,2020,17532284
Hotel del Luna,2019,2019,"10220588,10573398"
Hotel King,2014,2014,3737080
Hotelier,2001,2001,0431528
House of Bluebird,2015,2015,
How Are U Bread,2020,2020,
How Long I've Kissed,2012,2012,
