title,year,endYear,movie_id
River Where the Moon Rises,2021,2021,13634686
Road No. 1,2010,2010,2429772
Robber,2008,2008,
Romance,2002,2002,
Romance Is a Bonus Book,2019,2019,9130542
Romance Town,2011,2011,6268176
Romance Zero,2009,2009,
Rooftop Prince,2012,2012,2401162
Rookie Historian Goo Hae-ryung,2019,2019,10406128
Rookie Cops,2022,2022,17473062
Room No. 9,2018,2018,8970084
Rose Mansion,2022,2022,21603486
Rosy Lovers,2014,2015,5204274
Royal Secret Agent,2020,2021,13400756
Royal Family,2011,2011,3215868
Ruby Ring,2013,2014,5839312
Ruby Ruby Love,2017,2017,6385770
Rugal,2020,2020,11769798
Ruler of Your Own World,2002,2002,0464778
Run,2020,2020,8633478
Run On,2020,2021,13271834
"Run, Jang-mi",2014,2015,5672194
Rustic Period,2002,2003,
Sad Love Story,2005,2005,
"Saimdang, Memoir of Colors",2017,2017,
Salamander Guru and The Shadows,2012,2012,
Salut D'Amour,1994,1995,
Sandglass,1995,1995,5742816
Sang Doo! Let's Go to School,2003,2003,
Sassy Girl Chun-hyang,2005,2005,0885941
Save Me,2017,2017,"7020532,6536644"
Save Me 2,2019,2019,
Save the Family,2015,2015,5690206
Save the Last Dance for Me,2004,2005,2476778
Say It with Your Eyes,2000,2001,
Scent of a Woman,2011,2011,3184724
School 2013,2012,2013,8737876
School 2017,2017,2017,7020608
School 2021,2021,2021,15140382
Who Are You: School 2015,2015,2015,5087824
Schoolgirl Detectives,2014,2015,
Search,2020,2020,13346648
Search: WWW,2019,2019,10253244
Second 20s,2015,2015,4984004
Second to Last Love,2016,2016,5904666
Secret,2000,2000,
Secret Affair,2014,2014,5309758
Secret Boutique,2019,2019,10850842
Secret Door,2014,2014,4141426
Secret Garden,2010,2011,1841321
Secret Healer,2016,2016,
Secret Love,2013,2013,
Secret Mother,2018,2018,8359472
Secret Queen Makers,2018,2018,8811050
Secret Royal Inspector & Joy,2021,2021,15181018
Secrets and Lies,2018,2019,8648666
Secrets of Women,2016,2016,5881446
Sell Your Haunted House,2021,2021,14223310
Semantic Error,2022,2022,17080956
Seoul 1945,2006,2006,6450598
"Seoyoung, My Daughter",2012,2013,
Sexi Mong,2007,2007,
SF8,2020,2020,12560244
Sharp,2003,2007,4277048
She Knows Everything,2020,2020,12538770
She Was Pretty,2015,2015,5045900
She Would Never Know,2021,2021,13446244
Shine or Go Crazy,2015,2015,4412610
Shining Romance,2013,2014,
Shopping King Louie,2016,2016,5994306
Short,2018,2018,"9059594,12579042"
Should We Kiss First?,2018,2018,7897044
Show Window: The Queen's House,2021,2021,
Sh**ting Stars,2022,2022,19881100
Sign,2011,2011,
Signal,2016,2016,5332206
Sin Don,2005,2006,
Single Dad in Love,2008,2008,5886906
Sisters of the Sea,2005,2006,
Sisters-in-Law,2017,2017,6144152
Sisyphus: The Myth,2021,2021,13715448
Six Flying Dragons,2015,2016,5079024
Sketch,2018,2018,"8269322,6872436"
Sky Castle,2018,2019,9151274
Smile Again,2006,2006,6141742
Smile Again,2010,2011,6141742
"Smile, Mom",2010,2011,5618562
"Smile, You",2009,2010,6289530
Snow Flower,2006,2007,6086416
Snowdrop,2021,2021,13304700
So I Married the Anti-fan,2021,2021,
So Not Worth It,2021,2021,13186480
Solomon's Perjury,2016,2017,6256616
Somebody,2022,2022,22479848
Someday,2006,2006,2448148
Something About 1%,2003,2003,0771623
Something About 1 Percent,2016,2016,
Something Happened in Bali,2004,2004,
Something in the Rain,2018,2018,8078816
Songgot: The Piercer,2015,2015,
Soul,2009,2009,
Soul Mechanic,2020,2020,12274220
Soundtrack 1,2022,2022,"18970038,21045898"
Special Affairs Team TEN,2011,2013,2323034
Special Labor Inspector,2019,2019,9894162
Splash Splash Love,2015,2015,5290026
Splendid Politics,2015,2015,4613620
Sponsor,2022,2022,18410084
Spotlight,2008,2008,6284106
Spring Day,2005,2005,0843176
Spring Turns to Spring,2019,2019,
Spy,2015,2015,3079380
Spy Myung-wol,2011,2011,5120734
Squad 38,2016,2016,5536856
Squid Game,2021,2021,10919420
Stained Glass,2004,2005,0499286
Stairway to Heaven,2003,2004,0457542
Standby,2012,2012,5890956
Star in My Heart,1997,1997,0280243
Stars Falling from the Sky,2010,2010,3246568
Start-Up,2020,2020,12867810
Star's Echo,2004,2004,10841802
Star's Lover,2008,2009,5476108
Steal Heart,2014,2014,"6794548,3897982"
Stealer: Seven Joseon Coins,2023,2023,
Still 17,2018,2018,8648696
Still You,2012,2012,2148836
Stranger,2017,2023,6461346
Strangers 6,2012,2012,1856523
Strong Girl Bong-soon,2017,2017,6263222
Strong Woman Gang Nam-soon,2023,2023,
Strongest Chil Woo,2008,2008,3211198
Strongest Deliveryman,2017,2017,7022748
Style,2009,2009,
Successful Story of a Bright Girl,2002,2002,0396350
Suits,2018,2018,8084058
Sungkyunkwan Scandal,2010,2010,2745682
Sunlight Pours Down,2004,2004,
Sunny Again Tomorrow,2018,2018,
Super Daddy Yeol,2015,2015,5120616
Super Junior Unbelievable Story,2008,2008,
Super Rookie,2005,2005,0883870
Surgeon Bong Dal-hee,2007,2007,3364834
Suspicious Partner,2017,2017,6720154
Swallow the Sun,2009,2009,1567718
Sweden Laundry,2014,2015,
Sweet 18,2004,2004,0499174
Sweet Buns,2004,2005,6201830
Sweet Enemy,2017,2017,7090762
Sweet Home,2020,2020,11612120
"Sweet Home, Sweet Honey",2015,2016,8421804
Sweet Munchies,2020,2020,12401208
Sweet Revenge,2017,2018,9552278
Sweet Revenge 2,2018,2018,
Sweet Spy,2005,2006,0805191
Sweet Stranger and Me,2016,2016,6075048
"Sweet, Savage Family",2015,2016,5210290
Switch,2018,2018,"8954732,9154566"
Syndrome,2012,2012,
Taejo Wang Geon,2000,2002,6133646
"Take Care of Us, Captain",2012,2012,3019384
Tale of Fairy,2018,2018,
Tale of the Nine Tailed,2020,2020,12879418
"Tamra, the Island",2009,2009,
Tasty Life,2012,2012,
Taxi Driver,2021,2021,13759970
Tazza,2008,2008,3246308
Team Bulldog: Off-Duty Investigation,2020,2020,12379076
Tears of Heaven,2014,2015,
Tears of the Dragon,1996,1998,
Tell Me What You Saw,2020,2020,11557904
Temperature of Love,2017,2017,7208182
Temptation,2014,2014,3173642
Temptation of an Angel,2009,2009,2468308
Temptation of Wife,2008,2009,2013075
Tempted,2018,2018,7923816
Terroir,2008,2009,11189244
Thank You,2007,2007,1765453
"That Winter, the Wind Blows",2013,2013,2806646
The 101st Proposal,2006,2006,
The Accidental Couple,2009,2009,2799100
The All-Round Wife,2021,2021,
The Banker,2019,2019,9889042
The Beauty Inside,2018,2018,"8801708,16114232"
The Birth of a Family,2012,2013,7099688
The Blade and Petal,2013,2013,3091664
The Bride of Habaek,2017,2017,6385752
The Chaser,2012,2012,3032596
The City Hall,2009,2009,
The Clinic for Married Couples: Love and War,1999,2009,
The Cursed,2020,2020,9253926
The Crowned Clown,2019,2019,9266592
The Dawn of the Empire,2002,2003,
The Devil,2007,2007,0292963
The Devil Judge,2021,2021,14169770
The Doctors,2016,2016,6186738
The Duo,2011,2011,5122716
The Eldest,2013,2014,
The Emperor: Owner of the Mask,2017,2017,6201920
The Empire,2022,2022,18268454
The End of the World,2013,2013,2139851
The Escape of the Seven,2023,2023,
The Fabulous,2022,2022,22373732
The Family is Coming,2015,2015,5486218
The Fiery Priest,2019,2019,9674954
The First Responders,2022,2022,
The Forbidden Marriage,2022,2022,
The Fugitive of Joseon,2013,2013,3528368
The Fugitive: Plan B,2010,2010,1807208
The Game: Towards Zero,2020,2020,11534210
The Gentlemen of Wolgyesu Tailor Shop,2016,2017,15578398
The Ghost Detective,2018,2018,8784636
The Glory,2022,2022,10825320
The Golden Garden,2019,2019,
The Golden Spoon,2022,2022,22248234
The Good Detective,2020,2020,12504214
The Good Wife,2016,2016,5786676
"The Great King, Sejong",2008,2008,
The Great Merchant,2010,2010,5520354
The Great Seer,2012,2013,2896416
The Great Shaman Ga Doo-shim,2021,2021,
The Great Show,2019,2019,10808904
The Greatest Love,2011,2011,2304406
The Greatest Marriage,2014,2014,5679600
The Guardians,2017,2017,4600952
The Guest,2018,2018,"7645780,8801670"
The Happy Loner,2017,2017,
The Heirs,2013,2013,
The Hymn of Death,2018,2018,
The Idle Mermaid,2014,2014,
The Idolmaster KR,2017,2017,
The Innocent Man,2012,2012,2593336
The Jingbirok: A Memoir of Imjin War,2015,2015,
The K2,2016,2016,5966882
The Killer's Shopping List,2022,2022,20192566
The King 2 Hearts,2012,2012,2346947
The King and I,2007,2008,6201056
The King and the Queen,1998,2000,
The King in Love,2017,2017,"15579764,20672648"
The King of Chudong Palace,1983,1983,
The King of Dramas,2012,2013,3543410
The King of Legend,2010,2011,
The King of Pigs,2022,2022,19818310
"The King of Tears, Lee Bang-won",2021,2022,16549178
The King: Eternal Monarch,2020,2020,11228748
The King's Affection,2021,2021,14609428
"The King's Daughter, Soo Baek-hyang",2013,2014,
The King's Doctor,2012,2013,
The King's Face,2014,2015,4275654
The Kingdom of the Winds,2008,2009,2819226
The Lady in Dignity,2017,2017,6898288
The Last Empress,2018,2019,9146104
The Last Match,1994,1994,0315684
The Law Cafe,2022,2022,"21827042,21998254"
The Legend,2007,2007,
The Legend of the Blue Sea,2016,2017,5766194
The Liar and His Lover,2017,2017,6422226
The Lies Within,2019,2019,10919902
The Light in Your Eyes,2019,2019,9466968
The Love Is Coming,2016,2016,
The Lover,2015,2015,1321869
The Man in the Mask,2015,2015,
The Master of Revenge,2016,2016,5674026
The Merchant,2001,2002,
The Merchant: Gaekju 2015,2015,2016,5110358
The Miracle,2013,2013,
The Miracle We Met,2018,2018,
The Missing,2015,2015,
The Most Beautiful Goodbye,2017,2017,7682966
The Musical,2011,2011,
The Mysterious Class,2021,2021,20426062
The Noblesse,2014,2014,
The One and Only,2021,2022,"4829936,14803246,16305030"
The Package,2017,2017,6257658
The Penthouse: War in Life,2020,2021,13067118
The President,2010,2011,
The Princess' Man,2011,2011,2495476
The Producers,2015,2015,"4612922,4462166,2544624"
The Promise,2016,2016,4776998
The Queen of Office,2013,2013,3375996
The Queen's Classroom,2013,2013,5476238
The Rebel,2017,2017,"4986134,6256694"
The Red Sleeve,2021,2021,16121614
The Reputable Family,2010,2010,6284020
The Return of Hwang Geum-bok,2015,2015,5688566
The Return of Iljimae,2009,2009,3179566
The Rich Son,2018,2018,
The Road Home,2009,2009,
The Road: The Tragedy of One,2021,2021,14687098
The Royal Gambler,2016,2016,5569038
The Running Mates: Human Rights,2019,2019,10826036
The Scandal,2013,2013,3144390
The Scholar Who Walks the Night,2015,2015,4846958
The School Nurse Files,2020,2020,12879522
The Second Husband,2021,2022,15286388
The Secret House,2022,2022,
The Secret Life of My Secretary,2019,2019,10101272
The Secret Lovers,2005,2005,"6280718,19638452"
The Secret of Birth,2013,2013,
The Secret of My Love,2017,2018,7480296
The Silent Sea,2021,2021,"11570202,14642910,23063658,23063658"
The Slave Hunters,2010,2010,"2980528,15360170,15360172,15360178"
The Slingshot,2009,2009,3543296
The Smile Has Left Your Eyes,2018,2018,8696768
The Snow Queen,2006,2007,2389644
The Sound of Magic,2021,2021,
The Sound of Your Heart,2016,2016,"4613520,6220704,6318408"
The Spies Who Loved Me,2020,2020,12867972
The Story of Kang-goo,2014,2014,
The Suspicious Housekeeper,2013,2013,3362414
The Tale of Nokdu,2019,2019,10808968
The Third Charm,2018,2018,8954026
The Third Hospital,2012,2012,2182614
The Thorn Birds,2011,2011,5110420
The Three Musketeers,2014,2014,4135176
The Three Witches,2015,2016,2637350
The Time,2018,2018,"6628394,8031422"
The Time We Were Not in Love,2015,2015,4817002
The Uncanny Counter,2020,2021,13273826
The Undateables,2018,2018,
The Vampire Detective,2016,2016,
The Veil,2021,2021,14482296
The Village: Achiara's Secret,2015,2015,5084004
The Vineyard Man,2006,2006,0983981
The Virtual Bride,2015,2015,
The Virus,2013,2013,3145496
The Wedding Scheme,2012,2012,6212902
The Wind Blows,2019,2019,10192474
The Witch's Diner,2021,2021,14596486
The Woman Who Still Wants to Marry,2010,2010,5478360
The World of the Married,2020,2020,12042964
The Worst Evil,2023,2023,
The Youngest Son of a Conglomerate,2022,2022,18352538
Thirty-Nine,2022,2022,
This Is My Love,2015,2015,
Thousand Years of Love,2003,2003,3205964
Three Bold Siblings,2022,2022,
Three Brothers,2009,2010,6289562
Queen of the Ring,2017,2017,"8023204,17594944,17594944,17594944"
Romance Full of Life,2017,2017,6212814
The Universe's Star,2017,2017,6212758
Three Days,2014,2014,2172934
Three Friends,2000,2001,
Three Sisters,2010,2010,
Thrice Married Woman,2013,2014,
Through the Darkness,2021,2021,"13655044,15908898,14018014"
Time Between Dog and Wolf,2007,2007,1559296
Times,2021,2021,"7462410,2382320,13138834"
To My Beloved,2012,2012,
To the Beautiful You,2012,2012,2191746
To. Jenny,2018,2018,"11192300,8320844"
Today's Webtoon,2022,2022,21222278
"Toji, the Land",2004,2005,2337302
Tokyo Sun Shower,2008,2008,
Tomorrow,2022,2022,18926162
Tomorrow Boy,2016,2016,10859942
"Tomorrow, with You",2017,2017,5994346
Top Management,2018,2018,9284162
Top Star U-back,2018,2019,
Touch,2020,2020,4016294
Touch Your Heart,2019,2019,9466990
Tracer,2022,2022,"16492732,20237208"
Train,2020,2020,11032374
Trap,2019,2019,5990444
Tree of Heaven,2006,2006,2479216
Triangle,2014,2014,4800298
Trio,2002,2003,
Triple,2009,2009,
Trolley,2022,2022,19823068
True Beauty,2020,2021,13274038
Tunnel,2017,2017,6356086
Twelve Nights,2018,2018,9072270
Twenty-Five Twenty-One,2022,2022,17513352
Twinkle Twinkle,2011,2011,5144762
Two Cops,2017,2018,7525432
Two Mothers,2014,2014,4993938
Two Outs in the Ninth Inning,2007,2007,
Two Weeks,2013,2013,2964526
Two Wives,2009,2009,
Two Women's Room,2013,2014,5690190
Ugly Alert,2013,2013,5478804
Ugly Miss Young-ae,2007,2019,
Unasked Family,2019,2020,11214392
Uncle,2021,2021,
Uncontrollably Fond,2016,2016,5764282
Under the Queen's Umbrella,2022,2022,22265394
Undercover,2021,2021,"12940504,13634530,8415986"
Understanding of Love,2022,2022,
Unframed,2021,2021,15548278
Unkind Ladies,2015,2015,4507478
Unknown Woman,2017,2017,7088016
Unlock the Boss,2022,2022,
Unstoppable Marriage,2007,2008,"2315142,1460640"
Until the Azalea Blooms,1998,1998,
Untouchable,2017,2018,"7598556,2265651,7741974"
Vagabond,2019,2019,8523042
Vampire Idol,2011,2012,2457406
Vampire Prosecutor,2011,2012,2368922
Vengeance of the Bride,2022,2022,
Vincenzo,2021,2021,13433812
VIP,2019,2019,11018750
Voice,2017,2023,6212854
W,2016,2016,5797194
Wang's Family,2014,2014,"12325948,15506610"
Want a Taste?,2019,2020,
Wanted,2016,2016,5193358
War of Money,2007,2007,1186911
Warm and Cozy,2015,2015,4686292
Warrior Baek Dong-soo,2011,2011,3052852
Was It Love?,2020,2020,"12525622,13032926,17052000,14141620,14193658,14458706,14193658"
Watcher,2019,2019,10405674
We Are Dating Now,2002,2002,2949498
We Broke Up,2015,2015,
Webtoon Hero Toondra Show,2015,2016,
Wedding,2005,2005,"0396269,0372532"
Wednesday 3:30 PM,2017,2017,7208348
Weightlifting Fairy Kim Bok-joo,2016,2017,6157148
Welcome,2020,2020,"11912196,10804786"
Welcome 2 Life,2019,2019,10579300
Welcome Rain to My Life,2012,2012,
Welcome to the Show,2011,2011,2669586
Welcome to Waikiki,2018,2018,
Welcome to Waikiki 2,2019,2019,
Welcome to Wedding Hell,2022,2022,20192096
West Palace,1995,1995,
What Happens to My Family?,2014,2015,15506892
What's for Dinner?,2009,2009,
What's Up,2011,2012,
What's Up Fox,2006,2006,3541132
What's Wrong with Secretary Kim,2018,2018,8242904
When a Man Falls in Love,2013,2013,
When I Was the Most Beautiful,2020,2020,12868038
When My Love Blooms,2020,2020,12358696
When the Camellia Blooms,2019,2019,10826064
When the Devil Calls Your Name,2019,2019,10015794
When the Weather Is Fine,2020,2020,"11535086,12332542"
When Women Powder Twice,2011,2012,5616980
Where Stars Land,2018,2018,8991740
Where Your Eyes Linger,2020,2020,12418132
Which Star Are You From,2006,2006,3973384
While You Were Sleeping,2011,2011,6256484
While You Were Sleeping,2017,2017,6256484
Whisper,2017,2017,
White Lie,2008,2009,
White Nights 3.98,1998,1998,16702478
Who Are You?,2008,2008,3184700
Who Are You?,2013,2013,3184700
Why Her,2022,2022,20852668
Wife Returns,2009,2010,"11754920,1879596"
Wild Romance,2012,2012,2265089
Will It Snow for Christmas?,2009,2010,
Witch at Court,2017,2017,
Witch Yoo Hee,2007,2007,
Witch's Love,2018,2018,8689936
Wok of Love,2018,2018,8236528
Woman of 9.9 Billion,2019,2020,10892802
"Woman of Matchless Beauty, Park Jung-geum",2008,2008,
Woman with a Suitcase,2016,2016,5994434
Women in the Sun,2008,2008,
Wonderful Days,2014,2014,5124680
Wonderful Life,2005,2005,0464626
Wonderful Mama,2013,2013,5147370
Woori the Virgin,2022,2022,20227130
"Work Later, Drink Now",2021,2021,15548198
Working Mom,2008,2008,6452074
Working Mom Parenting Daddy,2016,2016,6450792
Worlds Within,2008,2008,1326911
Wuri's Family,2001,2002,
XX,2020,2020,
Yeon Gaesomun,2006,2007,
Yeonnam-dong 539,2018,2018,7794296
YG Future Strategy Office,2018,2018,8129694
Yonder,2022,2022,22882128
Yong-pal,2015,2015,5010664
You and I,1997,1998,5229140
You Are a Gift,2016,2016,6898470
You Are My Destiny,2008,2009,6761574
You Are My Destiny,2014,2014,6761574
You Are My Spring,2021,2021,14169816
You Are the Best!,2013,2013,3250818
You Are the Boss!,2013,2013,
You Are the Only One,2014,2015,5690240
You Are Too Much,2017,2017,"17497922,18182324,18182394,18182394"
You Don't Know Women,2017,2017,
You Drive Me Crazy,2018,2018,8333254
You're All Surrounded,2014,2014,3693428
You're Beautiful,2009,2009,
You're Only Mine,2014,2014,
Young Lady and Gentleman,2021,2022,15514606
Your Honor,2018,2018,8586046
Your House Helper,2018,2018,8487888
Your Lady,2013,2013,5690238
Your Neighbor's Wife,2013,2013,6352840
Your Scene,2007,2007,
Youth,2021,2021,14166666
Youth of May,2021,2021,14166666
Yumi's Cells,2021,2022,14596630
Zombie Detective,2020,2020,12937604
